               0      1      2      3      4
caseid     10000  10001  10002  10003  10004
dAge           5      6      3      4      7
dAncstry1      0      1      1      1      1
dAncstry2      1      1      2      2      1
iAvail         0      0      0      0      0
iCitizen       0      0      0      0      0
iClass         5      7      7      1      0
dDepart        3      5      4      3      0
iDisabl1       2      2      2      2      2
iDisabl2       2      2      2      2      2
iEnglish       1      0      0      0      0
iFeb55         0      0      0      0      0
iFertil        1      3      1      3      3
dHispanic      0      0      0      0      0
dHour89        4      1      4      3      0
dHours         3      1      4      3      0
iImmigr        0      0      0      0      0
dIncome1       2      1      1      1      0
dIncome2       0      0      0      0      0
dIncome3       0      0      1      0      0
dIncome4       1      0      0      0      0
dIncome5       0      0      0      0      1
dIncome6       0      1      0      0      0
dIncome7       0      0      0      0      0
dIncome8       0      0      0      1      0
dIndustry     10      4      1      4      0
iKorean        0      0      0      0      0
iLang1         1      2      2      2      2
iLooking       0      0      0      0      2
iMarital       1      0      4      2      0
iMay75880      0      0      0      0      0
iMeans         1      1     10      1      0
iMilitary      4      4      4      4      4
iMobility      2      1      1      1      1
iMobillim      2      2      2      2      2
dOccup         3      2      4      2      0
iOthrserv      0      0      0      0      0
iPerscare      2      2      2      2      2
dPOB           0      0      0      0      0
dPoverty       2      2      2      2      2
dPwgt1         1      2      1      1      1
iRagechld      4      4      4      2      4
dRearning      3      2      2      2      0
iRelat1        0      1      2      0      1
iRelat2        0      0      0      0      0
iRemplpar      0      0      0      0      0
iRiders        3      1      0      1      0
iRlabor        1      1      1      1      6
iRownchld      0      0      0      0      0
dRpincome      3      2      2      2      2
iRPOB         22     10     10     10     22
iRrelchld      0      0      0      0      0
iRspouse       3      1      6      4      1
iRvetserv      0      0      0      0      0
iSchool        1      1      1      1      1
iSept80        0      0      0      0      0
iSex           1      1      1      1      1
iSubfam1       0      0      0      0      0
iSubfam2       0      0      0      0      0
iTmpabsnt      0      0      0      0      3
dTravtime      5      1      2      1      0
iVietnam       0      0      0      0      0
dWeek89        2      2      2      1      0
iWork89        1      1      1      1      2
iWorklwk       1      1      1      1      2
iWWII          0      0      0      0      0
iYearsch      11      5     10     10      5
iYearwrk       1      1      1      1      6
dYrsserv       0      0      0      0      0
