name,role,type,demographic,description,units,missing_values
caseid,ID,Integer,,,,no
dAge,Feature,Integer,Age,,,no
dAncstry1,Feature,Integer,,,,no
dAncstry2,Feature,Integer,,,,no
iAvail,Feature,Integer,,,,no
iCitizen,Feature,Integer,,,,no
iClass,Feature,Integer,,,,no
dDepart,Feature,Integer,,,,no
iDisabl1,Feature,Integer,,,,no
iDisabl2,Feature,Integer,,,,no
iEnglish,Feature,Integer,,,,no
iFeb55,Feature,Integer,,,,no
iFertil,Feature,Integer,,,,no
dHispanic,Feature,Integer,,,,no
dHour89,Feature,Integer,,,,no
dHours,Feature,Integer,,,,no
iImmigr,Feature,Integer,,,,no
dIncome1,Feature,Integer,Income,,,no
dIncome2,Feature,Integer,Income,,,no
dIncome3,Feature,Integer,Income,,,no
dIncome4,Feature,Integer,Income,,,no
dIncome5,Feature,Integer,Income,,,no
dIncome6,Feature,Integer,Income,,,no
dIncome7,Feature,Integer,Income,,,no
dIncome8,Feature,Integer,Income,,,no
dIndustry,Feature,Integer,,,,no
iKorean,Feature,Integer,,,,no
iLang1,Feature,Integer,,,,no
iLooking,Feature,Integer,,,,no
iMarital,Feature,Integer,Marital Status,,,no
iMay75880,Feature,Integer,,,,no
iMeans,Feature,Integer,,,,no
iMilitary,Feature,Integer,,,,no
iMobility,Feature,Integer,,,,no
iMobillim,Feature,Integer,,,,no
dOccup,Feature,Integer,Occupation,,,no
iOthrserv,Feature,Integer,,,,no
iPerscare,Feature,Integer,,,,no
dPOB,Feature,Integer,,,,no
dPoverty,Feature,Integer,,,,no
dPwgt1,Feature,Integer,,,,no
iRagechld,Feature,Integer,,,,no
dRearning,Feature,Integer,,,,no
iRelat1,Feature,Integer,,,,no
iRelat2,Feature,Integer,,,,no
iRemplpar,Feature,Integer,,,,no
iRiders,Feature,Integer,,,,no
iRlabor,Feature,Integer,,,,no
iRownchld,Feature,Integer,,,,no
dRpincome,Feature,Integer,,,,no
iRPOB,Feature,Integer,,,,no
iRrelchld,Feature,Integer,,,,no
iRspouse,Feature,Integer,,,,no
iRvetserv,Feature,Integer,,,,no
iSchool,Feature,Integer,,,,no
iSept80,Feature,Integer,,,,no
iSex,Feature,Integer,Sex,,,no
iSubfam1,Feature,Integer,,,,no
iSubfam2,Feature,Integer,,,,no
iTmpabsnt,Feature,Integer,,,,no
dTravtime,Feature,Integer,,,,no
iVietnam,Feature,Integer,,,,no
dWeek89,Feature,Integer,,,,no
iWork89,Feature,Integer,,,,no
iWorklwk,Feature,Integer,,,,no
iWWII,Feature,Integer,,,,no
iYearsch,Feature,Integer,,,,no
iYearwrk,Feature,Integer,,,,no
dYrsserv,Feature,Integer,,,,no
